entry_time,exit_time,direction,entry_price,exit_price,pnl_pct,hold_bars,exit_reason,confidence,hexagram
2026-06-03 20:00:00,2026-06-05 05:00:00,LONG,1781.36,1714.559,-3.829,33,sl,0.8983,雷天大壮
2026-06-05 05:00:00,2026-06-05 14:00:00,SHORT,1684.36,1595.9311,5.171,9,tp,0.9736,雷天大壮
2026-06-05 14:00:00,2026-06-05 19:00:00,SHORT,1600.4,1540.385,3.671,5,tp,0.5152,雷天大壮
2026-06-06 00:00:00,2026-06-06 04:00:00,SHORT,1593.01,1533.2721,3.671,4,tp,0.9779,天雷无妄
2026-06-06 05:00:00,2026-06-07 08:00:00,SHORT,1566.58,1637.0761,-4.583,27,sl,0.7844,火天大有
2026-06-07 08:00:00,2026-06-07 22:00:00,LONG,1641.63,1690.8789,2.918,14,tp,0.743,火雷噬嗑
2026-06-07 22:00:00,2026-06-10 10:00:00,SHORT,1672.52,1628.43,2.557,60,time,0.7571,水地比
2026-06-10 10:00:00,2026-06-11 17:00:00,SHORT,1628.41,1677.2623,-3.082,31,sl,0.837,山泽损
2026-06-11 17:00:00,2026-06-13 02:00:00,SHORT,1688.61,1668.03,1.139,33,end,0.9891,泽火革
2026-06-13 03:00:00,2026-06-14 04:00:00,LONG,1665.26,1677.93,0.68,25,time,0.9813,山地剥
2026-06-14 04:00:00,2026-06-15 11:00:00,LONG,1677.93,1753.4368,4.417,31,tp,0.9203,泽山咸
2026-06-16 02:00:00,2026-06-17 18:00:00,LONG,1770.17,1770.25,-0.075,40,time,0.5244,天山遁
2026-06-17 19:00:00,2026-06-19 21:00:00,LONG,1734.69,1701.86,-1.972,50,time,0.6825,泽山咸
2026-06-19 21:00:00,2026-06-20 22:00:00,LONG,1701.87,1743.18,2.346,25,time,0.6641,水山蹇
2026-06-20 22:00:00,2026-06-23 08:00:00,SHORT,1743.28,1651.7578,5.171,58,tp,0.7782,泽雷随
2026-06-23 08:00:00,2026-06-24 16:00:00,LONG,1648.26,1586.4503,-3.829,32,sl,0.5702,雷地豫
2026-06-24 16:00:00,2026-06-25 05:00:00,LONG,1589.84,1637.5352,2.918,13,tp,0.7975,雷地豫
2026-06-25 05:00:00,2026-06-25 13:00:00,SHORT,1645.82,1584.1018,3.671,8,tp,0.9828,山地剥
2026-06-25 13:00:00,2026-06-27 15:00:00,LONG,1537.99,1605.65,4.317,50,time,0.9174,风泽中孚
2026-06-27 15:00:00,2026-06-28 02:00:00,SHORT,1605.66,1572.26,2.001,11,end,0.9909,泽风大过
2026-06-28 03:00:00,2026-06-29 17:00:00,SHORT,1575.22,1622.4766,-3.082,38,sl,0.8609,泽山咸
2026-06-29 22:00:00,2026-07-02 10:00:00,SHORT,1613.0,1646.44,-2.154,60,time,0.8551,雷水解
2026-07-02 10:00:00,2026-07-03 08:00:00,LONG,1646.56,1733.0044,5.167,22,tp,0.7515,雷天大壮
2026-07-03 08:00:00,2026-07-05 10:00:00,LONG,1719.93,1761.61,2.342,50,time,0.9086,天雷无妄
2026-07-05 10:00:00,2026-07-06 16:00:00,LONG,1761.61,1792.65,1.681,30,time,0.9017,山地剥
2026-07-06 16:00:00,2026-07-08 08:00:00,LONG,1792.66,1725.4352,-3.829,40,sl,0.9111,泽山咸
2026-07-08 08:00:00,2026-07-10 10:00:00,LONG,1735.47,1796.97,3.462,50,time,0.7911,雷山小过
2026-07-10 10:00:00,2026-07-12 22:00:00,SHORT,1796.97,1805.01,-0.528,60,time,0.5669,雷天大壮
2026-07-12 22:00:00,2026-07-13 02:00:00,LONG,1805.0,1808.59,0.119,4,end,0.5287,山风蛊
